"<br>
<h4>Note</h4>
<ul>
<li>
You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.
</li><li>
    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.
</li></ul>
<h4> Examples</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Body</b>: <br><br>
<pre><code>Hello {{ customer.customer_name }},<br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->","<br>
<h4>Observera</h4>
<ul>
<li>
Du kan använda <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja Taggar</a> i <b>Ämne</b> och <b> Huvudtext</b>-fält för dynamiska värden.
</li><li>
     Alla fält i denna doctype är tillgängliga under <b>doc</b>-objekt och alla fält för kund som e-post meddelande går till är tillgängliga under <b>customer</b>-objekt.
</li></ul>
<h4> Exempel</h4>
<!-- {% rå %} -->
<ul>
     <li><b>Ämne</b>:<br><br><pre><code>Konto besked för {{ customer.customer_name }}</code></pre><br></li>
     <li><b>Huvudtext</b>: <br><br>
<pre><code>Hej {{ customer.customer_name }},<br>Kontoutdrag från {{ doc.from_date }} till {{ doc.to_date }}.</code> </pre></ li>
</ul>
<!-- {% endraw %} -->",
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading"">Övriga Detaljer</div>",
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""text-muted text-center"">Inga avstämda Bank Transaktioner hittades</div>",
"<div>
<h3> All dimensions in centimeter only </h3>
</div>","<div>
<h3> Alla mått endast i centimeter </h3>
</div>",
"<h3>About Product Bundle</h3>

<p>Aggregate group of <b>Items</b> into another <b>Item</b>. This is useful if you are bundling a certain <b>Items</b> into a package and you maintain stock of the packed <b>Items</b> and not the aggregate <b>Item</b>.</p>
<p>The package <b>Item</b> will have <code>Is Stock Item</code> as <b>No</b> and <code>Is Sales Item</code> as <b>Yes</b>.</p>
<h4>Example:</h4>
<p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.</p>","<h3>Om Artikel Paket</h3>

<p>Paketera grupp av <b>artiklar</b> till annan <b>Artikel</b>. Det är användbart om man paketerar vissa <b>Artiklar</b> i paket och har lager av packade <b>Artiklar</b> och inte paketarad <b>Artikel</b></b>.</b>Artikel kommer att ha <b>Artikel</b>. <code>Är Lager Artikel</code> som <b>Nej</b> och <code>Är Försäljning Artikel</code> som <b>Ja</b>.</p>
<h4>Exempel:</h4>
<p>Om man säljer bärbara datorer och ryggsäckar separat och har specialpris om kunder köper båda, så kommer det att vara bärbar dator + ryggsäck som paket artikel",
"<h3>Currency Exchange Settings Help</h3>
<p>There are 3 variables that could be used within the endpoint, result key and in values of the parameter.</p>
<p>Exchange rate between {from_currency} and {to_currency} on {transaction_date} is fetched by the API.</p>
<p>Example: If your endpoint is exchange.com/2021-08-01, then, you will have to input exchange.com/{transaction_date}</p>","<h3>Valutaväxling Inställningar Hjälp</h3>
<p>Det finns 3 variabler som kan användas av slutpunkt, resultat nyckel och i parameter värde.</p>
<p>Växelkurs mellan {from_currency} och {to_currency} {transaction_date} hämtas av API.</p>
<p>Exempel: Om slutpunkt är exchange.com/2021-08-01 måste du ange exchange.com/{transaction_date}</p>",
"<h4>Body Text and Closing Text Example</h4>

<div>We have noticed that you have not yet paid invoice {{sales_invoice}} for {{frappe.db.get_value(""Currency"", currency, ""symbol"")}} {{outstanding_amount}}. This is a friendly reminder that the invoice was due on {{due_date}}. Please pay the amount due immediately to avoid any further dunning cost.</div>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your template are the fields in the document. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>Huvudtext och exempel på Avslutande Text</h4>

<div>Vi har märkt att ni ännu inte har betalat faktura {{sales_invoice}} för {{frappe.db.get_value(""Currency"", currency, ""symbol"")}} {{outstanding_amount}}. Detta är en vänlig påminnelse om att fakturan var förfallen {{due_date}}. Vänligen betala förfallen belopp omedelbart för att undvika ytterligare kostnader.</div>

<h4>Hur får man fältnamn</h4>

<p>Fältnamn man kan använda i mall är fält i dokument. Du kan ta reda på fält namn för alla dokument via Inställningar &gt; Anpassa formulärvy och välj dokument typ (t.ex. Försäljning Faktura)</p>

<h4>Mall</h4>

<p>Mallar kompileras med Jinja Templating Language. Om du vill veta mer om Jinja <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">läs denna dokumentation.</a></p>",
"<h4>Contract Template Example</h4>

<pre>Contract for Customer {{ party_name }}

-Valid From : {{ start_date }} 
-Valid To : {{ end_date }}
</pre>

<h4>How to get fieldnames</h4>

<p>The field names you can use in your Contract Template are the fields in the Contract for which you are creating the template. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Contract)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>Exempel på Avtal Mall</h4>

<pre>Avtal för Kund {{ party_name }}

-Giltigt från: {{ start_date }}
-Gäller till: {{ end_date }}
</pre>

<h4>Hur får man fältnamn</h4>

<p>Fältnamn du kan använda i avtal mall är fält i avtal som du skapar mallen för. Du kan ta reda på fält namn för alla dokument via Inställningar &gt; Anpassa formulärvy  och välj dokument typ (t.ex. Avtal)</p>

<h4>Mall</h4>

<p>Mallar kompileras med Jinja Templating Language. Om du vill veta mer om Jinja <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">läser du den här dokumentationen.</a></p>",
"<h4>Standard Terms and Conditions Example</h4>

<pre>Delivery Terms for Order number {{ name }}

-Order Date : {{ transaction_date }} 
-Expected Delivery Date : {{ delivery_date }}
</pre>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>Exempel på Standard Villkor</h4>

<pre>Leverans Villkor för Order Nummer {{ name }}

-Order Datum: {{ transaction_date }}
-Förväntat Leverans Datum: {{ delivery_date }}
</pre>

<h4>Hur hämtas fältnamn</h4>

<p>Fältnamn som kan användas i E-post Mall är fält i Dokument som man skickar E-post meddelande från. Man kan ta reda på fält namn för alla dokument via Inställning &gt; Anpassa Formulär Vy och välja Dokument Typ (t.ex. Försäljning Faktura)</p>

<h4>Skriva Mallar</h4>

<p>Mallar kompileras med Jinja Mall Språk. Läs mer om Jinja dokumentation: <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/""></a></p>",
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"">Eller</h5>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Account Number Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Konto Nummer Inställnigar</label>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Amount In Words</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Belopp i Ord</label>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Date Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Datum Inställningar</label>",
"<p>In your <b>Email Template</b>, you can use the following special variables:
</p>
<ul>
        <li>
            <code>{{ update_password_link }}</code>: A link where your supplier can set a new password to log into your portal.
        </li>
        <li>
            <code>{{ portal_link }}</code>: A link to this RFQ in your supplier portal.
        </li>
        <li>
            <code>{{ supplier_name }}</code>: The company name of your supplier.
        </li>
        <li>
            <code>{{ contact.salutation }} {{ contact.last_name }}</code>: The contact person of your supplier.
        </li><li>
            <code>{{ user_fullname }}</code>: Your full name.
        </li>
    </ul>
<p></p>
<p>Apart from these, you can access all values in this RFQ, like <code>{{ message_for_supplier }}</code> or <code>{{ terms }}</code>.</p>","<p>I <b>E-post Mall</b> kan följande specialvariabler användas:
</p>
<ul>
<li>
 <code>{{ update_password_link }} </code>: Länk där leverantör kan ange nytt lösenord för att logga in på leverantör portal.
 </li>
 <li>
 <code>{{ portal_link }}</code>: Länk till offert begäran på leverantör portal.
 </li>
 <li>
 <code>{{ supplier_name }}</code>: Leverantör namn.
 </li>
 <li >
 <code>{{ contact.salutation }} {{ contact.last_name }}</code>: Kontakt person för leverantör.
 </li>
 <li>
 <code>{{ user_fullname } }</code>: Användarens fullständiga namn.
 </li>
 </ul>
<p>
</p>
<p>Förutom dessa kan man komma åt alla värden i offert begäran, som <code>{{ message_for_supplier }}</code> eller <code>{{ terms }}</code>.</p>",
"<pre><h5>Message Example</h5>

&lt;p&gt; Thank You for being a part of {{ doc.company }}! We hope you are enjoying the service.&lt;/p&gt;

&lt;p&gt; Please find enclosed the E Bill statement. The outstanding amount is {{ doc.grand_total }}.&lt;/p&gt;

&lt;p&gt; We don't want you to be spending time running around in order to pay for your Bill.<br>After all, life is beautiful and the time you have in hand should be spent to enjoy it!<br>So here are our little ways to help you get more time for life! &lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; click here to pay &lt;/a&gt;

</pre>
","<pre><h5>Meddelande Exempel</h5>

&lt;p&gt; Tack för att ni är en del av {{ doc.company }}! Vi hoppas att ni gillar tjänst.&lt;/p&gt;

&lt;p&gt; Vänligen se bifogat E-faktura. Utestående belopp är {{ doc.grand_total }}.&lt;/p&gt;

&lt;p&gt; Vi vill inte att ni ska spendera tid med att springa runt för att betala faktura.<br>Livet är trots allt vackert och den tid man har bör spenderas för att njuta av livet!<br>Så här är våra små sätt att hjälpa er att få mer tid för livet! &lt; /p&gt;

&lt;a href=""{{ payment_url }}""&gt; klicka här för att betala &lt;/a&gt;

</pre>
",
"<pre><h5>Message Example</h5>

&lt;p&gt;Dear {{ doc.contact_person }},&lt;/p&gt;

&lt;p&gt;Requesting payment for {{ doc.doctype }}, {{ doc.name }} for {{ doc.grand_total }}.&lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; click here to pay &lt;/a&gt;

</pre>
","<pre><h5>Meddelande Exempel</h5>

&lt;p&gt;Hej {{ doc.contact_person }},&lt;/p&gt;

&lt;p&gt;Begär betalning för {{ doc.doctype }}, {{ doc.name }} för {{ doc.grand_total }}.&lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; klicka här för att betala &lt;/a&gt;

</pre>
",
"<table class=""table table-bordered table-condensed"">
<thead>
  <tr>
         <th class=""table-sr"" style=""width: 50%;"">Child Document</th>
         <th class=""table-sr"" style=""width: 50%;"">Non Child Document</th>
   </tr>
</thead>
<tbody>
<tr>
         <td>
                  <p> To access parent document field use parent.fieldname and to access child table document field use doc.fieldname </p>

         </td>
         <td>
                    <p>To access document field use doc.fieldname </p>
         </td>
</tr>
<tr>
        <td>
                   <p><b>Example: </b> parent.doctype == ""Stock Entry"" and doc.item_code == ""Test"" </p>

        </td>
         <td>
                   <p><b>Example: </b> doc.doctype == ""Stock Entry"" and doc.purpose == ""Manufacture""</p>    
          </td>
</tr>

</tbody>
</table>






","<thead>
  <tr>
         <th class=""table-sr"" style=""width: 50%;"">Underordnad Dokument</th>
         <th class=""table-sr"" style=""width: 50%;"">Överordnad Dokument</th>
   </tr>
</thead>
<tbody>
<tr>
         <td>
                  <p>För att komma åt överordnad dokument fält använd parent.fieldname och för att komma åt underordnad dokument fält använd doc.fieldname </p>

         </td>
         <td>
                    <p>För att komma åt dokument fält använd doc.fieldname </p>
         </td>
</tr>
<tr>
        <td>
                   <p><b>Exampel: </b> parent.doctype == ""Stock Entry"" and doc.item_code == ""Test"" </p>

        </td>
         <td>
                   <p><b>Exampel: </b> doc.doctype == ""Stock Entry"" and doc.purpose == ""Produktion""</p>    
          </td>
</tr>

</tbody>
</table>






",
"A Price List is a collection of Item Prices either Selling, Buying, or both","Prislista är samling av artikel priser som antingen säljs, köpes eller båda",
"A Product or a Service that is bought, sold or kept in stock.","Artikel eller Service som köpes, säljes eller finns på lager.",
A condition for a Shipping Rule,Villkor för Leverans Regel,
A customer must have primary contact email.,Kund måste ha primär kontakt e-post adress.,
A logical Warehouse against which stock entries are made.,Logisk Lager mot vilken lager poster skapas,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Tredje parts distributör / handlare / kommissionär / återförsäljare som säljer bolags artiklar mot provision.,
A+,A+,
A-,A-,
A4,A4,
AB+,AB+,
AB-,AB-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
AMC Expiry Date,Service Avtal Utgång Datum,
API,API,
API Details,API Detaljer,
API Endpoint,API Slutpunkt,
API Key,API Nyckel,
AWB Number,AWB Nummer,
Abbr,Förkortning,
Abbreviation,Förkortning,
About,Om,
Academics User,Läsår Användare,
Acceptance Criteria Formula,Acceptans Kriterier Formel ,
Acceptance Criteria Value,Acceptans Kriterier Värde,
Accepted,Accepterad,
Accepted Qty,Godkänd Kvantitet,
Accepted Qty in Stock UOM,Accepterad Kvantitet i Lager Enhet,
Accepted Quantity,Godkänd Kvantitet,
Accepted Warehouse,Godkänd Lager,
Access Key,Åtkomst Nyckel,
According to CEFACT/ICG/2010/IC013 or CEFACT/ICG/2010/IC010,Enligt CEFACT/ICG/2010/IC013 eller CEFACT/ICG/2010/IC010,
Account,Konto,
Account Balance,Konto Saldo,
Account Category,Konto Kategori,
Account Category Name,Konto Kategori Namn,
Account Closing Balance,Konto Stängning Saldo,
Account Currency,Konto Valuta,
Account Currency (From),Konto Valuta (Från),
Account Currency (To),Konto Valuta (Till),
Account Data,Konto Data,
Account Details,Konto Detaljer,
Account Head,Konto,
Account Manager,Konto Ansvarig,
Account Name,Konto Namn,
Account Number,Konto Nummer,
Account Opening Balance,Öppning Saldo,
Account Paid From,Från Konto,
Account Paid To,Till Konto,
Account Subtype,Konto Undertyp,
Account Type,Konto Typ,
Account for Change Amount,Växel Belopp Konto,
Accounting,Bokföring,
Accounting Details,Bokföring Detaljer,
Accounting Dimension,Bokföring Dimension,
Accounting Dimension Detail,Bokföring Dimension Detalj,
Accounting Dimension Filter,Bokföring Dimension Filter,
Accounting Dimensions,Bokföring Dimensioner,
Accounting Dimensions ,Bokföring Dimensioner,
Accounting Dimensions Filter,Bokföring Dimension Filter,
Accounting Entries,Bokföring Poster,
Accounting Period,Bokföring Period,
Accounting entries are frozen up to this date. Only users with the specified role can create or modify entries before this date.,Bokföring poster är låsta fram till detta datum. Endast användare med angiven roll kan skapa eller ändra poster före detta datum.,
Accounts,Bokföring,
Accounts Closing,Bokföring Stängning,
Accounts Frozen Till Date,Konton Låsta Till,
Accounts Manager,Bokgöring Ansvarig,
Accounts Payable,Skulder,
Accounts Payable Summary,Skuld Översikt,
Accounts Receivable, Fordringar,
Accounts Receivable / Payable Tuning,Fordringar/Skulder Justering,
Accounts Receivable Credit Account,Fordring Kredit Konto,
Accounts Receivable Discounted Account,Fordring Rabatt Konto,
Accounts Receivable Summary,Fordringar Översikt,
Accounts Receivable Unpaid Account,Fordring Obetald Konto,
Accounts Receivable/Payable,Fordringar/Skulder,
Accounts Settings,Bokföring Inställningar,
Accounts User,Bokföring Användare,
Accounts to Merge,Konton att slå ihop,
Accumulated Depreciation,Ackumulerad Avskrivning,
Accumulated Depreciation Account,Ackumulerad Avskrivning Konto,
Accumulated Depreciation Amount,Ackumulerad Avskrivning Belopp,
Acquisition Date,Inköp Datum,
Action,Åtgärd,
Action If Quality Inspection Is Not Submitted,Åtgärd om Kvalitet Kontroll ej Godkänd,
Action If Quality Inspection Is Rejected,Åtgärd om Kvalitet Kontroll är Avvisad,
Action If Same Rate is Not Maintained,Åtgärd om Marginal inte Bibehålls,
Action if Accumulated Monthly Budget Exceeded on Actual,Åtgärd om Ackumulerad Månad Budget överskrider Verklig,
Action if Accumulated Monthly Budget Exceeded on MR,Åtgärd om Ackumulerad Månad Budget överskrider Material Begäran,
Action if Accumulated Monthly Budget Exceeded on PO,Åtgärd om Ackumulerad Månad Budget överskrider Inköp Order,
Action if Accumulative Monthly Budget Exceeded on Cumulative Expense,Åtgärd om Ackumulerad Månadsbudget Överskridits för Ackumulerad Kostnad,
Action if Annual Budget Exceeded on Actual,Åtgärd om Årlig Budget överskrider Verklig,
Action if Annual Budget Exceeded on MR,Åtgärd om Årlig Budget överskrider Material Begäran,
Action if Annual Budget Exceeded on PO,Åtgärd om Årlig Budget överskrider Inköp Order,
Action if Anual Budget Exceeded on Cumulative Expense,Åtgärd om Årsbudget Överskridits på Ackumulerad Kostnad,
Action if Same Rate is Not Maintained Throughout  Internal Transaction,Åtgärd om Samma Marginal inte bibehålls under hela interna Transaktionen,
Action on New Invoice,Åtgärd på Ny Faktura,
Actions,Åtgärder,
Actions performed,Åtgärder Utförda,
Active,Aktiv,
Active Status,Aktiv Status,
Activities,Aktiviteter,
Activity,Aktivitet,
Activity Cost,Aktivitet Kostnad,
Activity Type,Aktivitet Typ,
Actual,Faktisk,
Actual Batch Quantity,Faktiskt Parti Kvantitet,
Actual Date,Faktisk Datum,
Actual Demand,Faktisk Efterfråga,
Actual End Date,Faktisk Slut Datum,
Actual End Date (via Timesheet),Faktisk Slut Datum (via Tidrapport),
Actual End Time,Faktisk Slut Tid,
Actual Operating Cost,Faktisk Drift Kostnad,
Actual Operation Time,Faktisk Åtgärd Tid,
Actual Qty,Faktisk Kvantitet,
Actual Qty (at source/target),Faktis Kvantitet (vid Källa/Mål),
Actual Qty in Warehouse,Faktisk Kvantitet på Lager,
Actual Start Date,Faktisk Start Datum,
Actual Start Date (via Timesheet),Faktisk Start Datum (via Tidrapport),
Actual Start Time,Faktisk Start Tid,
Actual Time,Faktisk Tid,
Actual Time and Cost,Faktisk Tid och Kostnad,
Actual Time in Hours (via Timesheet),Faktisk Tid i Timmar (via Tidrapport),
Add,Lägg till,
Add Corrective Operation Cost in Finished Good Valuation,Lägg till Korrigerande Drift Kostnad i Färdig Artikel,
Add Local Holidays,Lägg till Lokala Helger,
Add Manually,Lägg till Manuellt,
Add Or Deduct,Lägg till eller Dra av,
Add Quote,Lägg till Offert,
Add Raw Materials,Lägg till Råmaterial,
Add Schedule,Lägg till Schema,
Add Serial / Batch Bundle,Lägg till Serie / Parti Paket,
Add Serial / Batch No,Lägg till Serie/Parti Nummer,
Add Serial / Batch No (Rejected Qty),Lägg till Serie/Parti Nummer (Avvisad Kvantitet),
Add Template,Lägg till Mall,
Add Weekly Holidays,Lägg till Veckovisa Helger,
Add or Deduct,Lägg till eller Dra av,
Add to Holidays,Lägg till Helger,
Add to Transit,Lägg till I Transit,
Added By,Lagt till Av,
Added On,Tillagd,
Additional Asset Cost,Extra Tillgång Kostnad,
Additional Cost,Extra Kostnad,
Additional Cost Per Qty,Extra Kostnad per Kvantitet,
Additional Costs,Extra Kostnader,
Additional Data,Extra Data,
Additional Details,Extra Detaljer,
Additional Discount,Extra Rabatt,
Additional Discount Amount,Extra Rabatt Belopp,
Additional Discount Amount (Company Currency),Extra Rabatt Belopp (Bolag Valuta),
Additional Discount Percentage,Extra Rabatt i %,
Additional Info,Extra Information,
Additional Information,Extra Information ,
Additional Notes,Extra Anmärkningar,
Additional Operating Cost,Extra Drift Kostnader,
Additional Transferred Qty,Extra Överförd Kvantitet,
Additional information regarding the customer.,Extra information angående Kund.,
Address,Adress,
Address & Contact,Adress & Kontakt,
Address & Contacts,Adress & Kontakter,
Address Desc,Adress Beskrivning,
Address HTML,Adress HTML,
Address Line 1,Adressrad 1,
Address Line 2,Adressrad 2,
Address Name,Adress Namn,
Address and Contact,Adress & Kontakt,
Address and Contacts,Adress & Kontakter,
Address used to determine Tax Category in transactions,Adress som används för att bestämma Moms Kategori i Transaktioner,
Adjust Qty,Justera Kvantitet,
Administrator,Administratör,
Advance Account,Förskott Konto,
Advance Amount,Förskott Belopp,
Advance Paid,Förskott Betalning,
Advance Payment Date,Förskott Betalning Datum,
Advance Payment Ledger Entry,Förskottsbetalning Register Post,
Advance Payment Status,Förskott Betalning Status,
Advance Payments,Förskott Betalningar,
Advance Taxes and Charges,Förskott Moms och Avgifter,
Advance Voucher No,Förskott Verifikat Nummer,
Advance Voucher Type,Förskott Verifikat Typ,
Advance amount,Förskott Belopp,
Advance payments allocated against orders will only be fetched,Förskott betalningar allokerade mot order kommer att hämtas,
Advanced Filtering,Avancerad Filtrering,
Advanced Settings,Avancerade Inställningar,
Advances,Förskott,
Against,Mot ,
Against Account,Mot Konto,
Against Blanket Order,Mot Avtal Order,
Against Delivery Note Item,Mot Försäljning Följesedel,
Against Docname,Mot Dokument Namn,
Against Doctype,Mot DocType,
Against Document Detail No,Mot Dokument Detalj Nummer,
Against Document No,Mot Dokument Nummer,
Against Expense Account,Mot Kostnad Konto,
Against Finished Good,Mot Färdig Artikel,
Against Income Account,Mot Intäkt Konto,
Against Pick List,Mot Plocklista,
Against Sales Invoice,Mot Försäljning Faktura,
Against Sales Invoice Item,Mot Försäljning Faktura Artikel,
Against Sales Order,Mot Försäljning Order,
Against Sales Order Item,Mot Försäljning Order Artikel,
Against Stock Entry,Mot Lager Post,
Against Voucher,Mot Verifikat,
Against Voucher No,Mot Verifikat Nummer,
Against Voucher Type,Mot Verifikat Typ,
Ageing Based On,Åldrande Baserad på,
Agenda,Dagordning,
Agent Busy Message,Agent Upptaget Meddelande,
Agent Details,Agent Detaljer,
Agent Group,Agent Grupp,
Agent Unavailable Message,Agent Otillgänglig Meddelande,
Agents,Agenter,
Aggregate a group of Items into another Item. This is useful if you are maintaining the stock of the packed items and not the bundled item,Paketera flera Artiklar till en annan Artikel. Användbart om lager baseras på packade artiklar och inte ingående artiklar,
Algorithm,Algoritm,
All,Alla,
All Activities,Alla Aktivitet,
All Activities HTML,Alla Aktivitet HTML,
All Contact,Alla Kontakter,
All Customer Contact,Alla Kund Kontakter,
All Employee (Active),All Personal (Aktiv),
All Lead (Open),Alla Potentiella Kunder (Öppna),
All Sales Partner Contact,Alla Försäljning Partners Kontakter,
All Sales Person,All Försäljning Personal,
All Sales Transactions can be tagged against multiple Sales Persons so that you can set and monitor targets.,Alla försäljning transaktioner kan taggas mot flera säljare för att ange och övervaka mål.,
All Supplier Contact,Alla Leverantör Kontakter,
All allocations have been successfully reconciled,Alla tilldelningar är avstämda,
All the Comments and Emails will be copied from one document to another newly created document(Lead -> Opportunity -> Quotation) throughout the CRM documents.,Alla Kommentar och E-post meddelande kommer att kopieras från ett dokument till ett annat nyskapad dokument (Potentiell Kund -> Möjlighet -> Försäljning Offert) genom hela Säljstöd process.,
Allocate Advances Automatically (FIFO),Tilldela Förskott Automatiskt (FIFO),
Allocate Payment Based On Payment Terms,Tilldela Betalning baserat på Betalning Villkor,
Allocated,Tilldelad,
Allocated Amount,Tilldelad Belopp,
Allocated Entries,Tilldelade Poster,
Allocated amount,Tilldelad Belopp,
Allocation,Tilldelning,
Allocations,Tilldelningar,
Allow,Tillåt,
Allow Account Creation Against Child Company,Tillåt att konto skapas mot Dotter Bolag,
Allow Alternative Item,Tillåt Alternativ Artikel,
Allow Continuous Material Consumption,Tillåt Kontinuerlig Material Förbrukning,
Allow Editing of Items and Quantities in Work Order,Tillåt ändring av Artiklar och Kvantiteter i Arbetsorder,
Allow Excess Material Transfer,Tillåt Överflödig Material Överföring,
Allow Implicit Pegged Currency Conversion,Tillåt Implicit Bunden Valutakonvertering,
Allow In Returns,Tillåt Retur,
Allow Internal Transfers at Arm's Length Price,Tillåt Interna Överföringar till Marknadsmässig Pris,
Allow Item To Be Added Multiple Times in a Transaction,Tillåt att Artikel läggs till flera gånger i en transaktion,
Allow Lead Duplication based on Emails,Tillåt Potentiella Kunder Duplicering baserat på E-post Meddelande,
Allow Negative Stock,Tillåt Negativ Lager,
Allow Negative rates for Items,Tillåt Negativa Priser för Artiklar,
Allow Or Restrict Dimension,Tillåt eller Begränsa Dimension,
Allow Overtime,Tillåt Övertid,
Allow Partial Payment,Tillåt Delbetalning,
Allow Partial Reservation,Tillåt Partiell Reservation,
Allow Production on Holidays,Tillåt Produktion på Helger,
Allow Purchase,Tillåt Inköp,
Allow Purchase Invoice Creation Without Purchase Order,Tillåt skapande av Inköp Faktura utan Inköp Order,
Allow Purchase Invoice Creation Without Purchase Receipt,Tillåt skapande av Inköp Faktura utan Inköp Följesedel,
Allow Purchase Order with Zero Quantity,Tillåt Inköp Order med Noll Kvantitet,
Allow Rename Attribute Value,Tillåt Ändra Namn på Artikel Egenskaper,
Allow Request for Quotation with Zero Quantity,Tillåt Offert Begäran med Noll Kvantitet,
Allow Resetting Service Level Agreement,Tillåt Återställning av Service Nivå Avtal,
Allow Sales,Tillåt Försäljning,
Allow Sales Invoice Creation Without Delivery Note,Tillåt skapande av Försäljning Faktura utan Försäljning Följesedel,
Allow Sales Invoice Creation Without Sales Order,Tillåt skapande av Försäljning Faktura utan Försäljning Order,
Allow Stale Exchange Rates,Tillåt Inaktuella Valutaväxling Kurser,
Allow Supplier Quotation with Zero Quantity,Tillåt Leverantör Offert med Noll Kvantitet,
Allow UOM with Conversion Rate Defined in Item,Tillåt Enhet med Konvertering Sats definierad i Artikel,
Allow User to Edit Discount,Tillåt Användare att Redigera Rabatt,
Allow User to Edit Rate,Tillåt Användare att Redigera Pris,
Allow Variant UOM to be different from Template UOM,Tillåt att Variant Enhet skiljer sig från Mall Enhet,
Allow Zero Rate,Tillåt Noll Pris,
Allow Zero Valuation Rate,Tillåt Noll Grund Pris,
Allow existing Serial No to be Manufactured/Received again,Tillåt att befintligt serienummer produceras/tas emot igen,
