"<label class=""control-label"" style=""margin-bottom: 0px;"">Date Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Podešavanje datuma</label>",
"<p>In your <b>Email Template</b>, you can use the following special variables:
</p>
<ul>
        <li>
            <code>{{ update_password_link }}</code>: A link where your supplier can set a new password to log into your portal.
        </li>
        <li>
            <code>{{ portal_link }}</code>: A link to this RFQ in your supplier portal.
        </li>
        <li>
            <code>{{ supplier_name }}</code>: The company name of your supplier.
        </li>
        <li>
            <code>{{ contact.salutation }} {{ contact.last_name }}</code>: The contact person of your supplier.
        </li><li>
            <code>{{ user_fullname }}</code>: Your full name.
        </li>
    </ul>
<p></p>
<p>Apart from these, you can access all values in this RFQ, like <code>{{ message_for_supplier }}</code> or <code>{{ terms }}</code>.</p>","<p>U Vašem <b>Imejl šablonu</b>, možete da koristite sledeće specijalne promenljive:
</p>
<ul>
        <li>
            <code>{{ update_password_link }}</code>: Link gde Vaš dobavljač može postaviti novu lozinku za prijavu na Vaš portal
        </li>
        <li>
            <code>{{ portal_link }}</code>: Link ka ovom zahtevu za ponudu na portalu dobavljača.
        </li>
        <li>
            <code>{{ supplier_name }}</code>: Naziv kompanije dobavljača.
        </li>
        <li>
            <code>{{ contact.salutation }} {{ contact.last_name }}</code>: Kontakt osoba dobavljača.
        </li><li>
            <code>{{ user_fullname }}</code>: Vaše puno ime i prezime.
        </li>
    </ul>
<p></p>
<p>Pored ovih, možete pristupiti svim vrednostima u zahtevu kao što je <code>{{ message_for_supplier }}</code> ili <code>{{ terms }}</code>.</p>",
"<pre><h5>Message Example</h5>

&lt;p&gt; Thank You for being a part of {{ doc.company }}! We hope you are enjoying the service.&lt;/p&gt;

&lt;p&gt; Please find enclosed the E Bill statement. The outstanding amount is {{ doc.grand_total }}.&lt;/p&gt;

&lt;p&gt; We don't want you to be spending time running around in order to pay for your Bill.<br>After all, life is beautiful and the time you have in hand should be spent to enjoy it!<br>So here are our little ways to help you get more time for life! &lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; click here to pay &lt;/a&gt;

</pre>
","<pre><h5>Primer poruke</h5>

&lt;p&gt; Hvala Vam što ste deo {{ doc.company }}! Nadamo se da ste zadovoljni uslugom.&lt;/p&gt;

&lt;p&gt; Dostavljamo Vam elektronsku fakturu. Preostali iznos za uplatu je {{ doc.grand_total }}.&lt;/p&gt;

&lt;p&gt; Ne želimo da trošite vreme trčeći okolo kako biste platili svoj račun<br>Na kraju krajeva, život treba da bude lep, a vreme treba da provedete uživajući u njemu!<br>Zbog toga su ovde naši mali načini da Vam pomognemo da dobijete više vremena za uživanje!&lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; Kliknite ovde da biste platili &lt;/a&gt;

</pre>
",
"<pre><h5>Message Example</h5>

&lt;p&gt;Dear {{ doc.contact_person }},&lt;/p&gt;

&lt;p&gt;Requesting payment for {{ doc.doctype }}, {{ doc.name }} for {{ doc.grand_total }}.&lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; click here to pay &lt;/a&gt;

</pre>
","<pre><h5>Primer poruke</h5>

&lt;p&gt;Poštovani/a {{ doc.contact_person }},&lt;/p&gt;

&lt;p&gt;Zahtev za uplatu {{ doc.doctype }}, {{ doc.name }} u iznosu od {{ doc.grand_total }}.&lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; Kliknite ovde da biste platili &lt;/a&gt;

</pre>
",
"<table class=""table table-bordered table-condensed"">
<thead>
  <tr>
         <th class=""table-sr"" style=""width: 50%;"">Child Document</th>
         <th class=""table-sr"" style=""width: 50%;"">Non Child Document</th>
   </tr>
</thead>
<tbody>
<tr>
         <td>
                  <p> To access parent document field use parent.fieldname and to access child table document field use doc.fieldname </p>

         </td>
         <td>
                    <p>To access document field use doc.fieldname </p>
         </td>
</tr>
<tr>
        <td>
                   <p><b>Example: </b> parent.doctype == ""Stock Entry"" and doc.item_code == ""Test"" </p>

        </td>
         <td>
                   <p><b>Example: </b> doc.doctype == ""Stock Entry"" and doc.purpose == ""Manufacture""</p>    
          </td>
</tr>

</tbody>
</table>






","<table class=""table table-bordered table-condensed"">
<thead>
  <tr>
         <th class=""table-sr"" style=""width: 50%;"">Zavisni dokument</th>
         <th class=""table-sr"" style=""width: 50%;"">Samostalni dokument</th>
   </tr>
</thead>
<tbody>
<tr>
         <td>
                  <p> Da biste pristupili polju matični dokument koristite parent.fieldname, da biste pristupili polju zavisne tabele koristite doc.fieldname </p>

         </td>
         <td>
                    <p>Da biste pristupili polju dokumenta koristite doc.fieldname </p>
         </td>
</tr>
<tr>
        <td>
                   <p><b>Primer: </b> parent.doctype == ""Ulaz u skladište"" and doc.item_code == ""Test"" </p>

        </td>
         <td>
                   <p><b>Primer: </b> doc.doctype == ""Ulaz u skladište"" and doc.purpose == ""Proizvodnja""</p>    
          </td>
</tr>

</tbody>
</table>






",
"A Price List is a collection of Item Prices either Selling, Buying, or both","Cenovnik je zbirka cena stavki, bilo da su prodajne ili nabavne",
"A Product or a Service that is bought, sold or kept in stock.","Proizvod ili usluga koja se kupuje, prodaje ili čuva na skladištu.",
A condition for a Shipping Rule,Uslov za pravilo isporuke,
A customer must have primary contact email.,Kupca mora imati primarnu kontakt imejl adresu.,
A logical Warehouse against which stock entries are made.,Logičko skladište u koje se vrše unosi zaliha.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Treća strana distributer / trgovac / agent za proviziju / saradnik / preprodavac koji prodaje proizvode za proviziju.,
A+,A+,
A-,A-,
A4,A4,
AB+,AB+,
AB-,AB-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
AMC Expiry Date,Datum isteka godišnjeg ugovora o održavanju,
API,API,
API Details,API Detalji,
API Endpoint,API Endpoint,
API Key,API ključ,
AWB Number,AWB Broj,
Abbr,Skraćeno,
Abbreviation,Skraćenica,
About,O,
Academics User,Akademski korisnik,
Acceptance Criteria Formula,Formula za kriterijume prihvatanja,
Acceptance Criteria Value,Vrednost kriterijuma za prihvatanje,
Accepted,Prihvaćeno,
Accepted Qty,Prihvaćena količina,
Accepted Qty in Stock UOM,Prihvaćena količina u jedinici mere zaliha,
Accepted Quantity,Prihvaćena količina,
Accepted Warehouse,Skladište prihvaćenih zaliha,
Access Key,Ključ za pristup,
According to CEFACT/ICG/2010/IC013 or CEFACT/ICG/2010/IC010,U skladu sa CEFACT/ICG/2010/IC013 ili CEFACT/ICG/2010/IC010,
Account,Nalog,
Account Balance,Stanje računa,
Account Category,Kategorija računa,
Account Category Name,Naziv kategorije računa,
Account Closing Balance,Zatvaranje stanja računa,
Account Currency,Valuta računa,
Account Currency (From),Valuta računa (od),
Account Currency (To),Valuta računa (ka),
Account Data,Podaci o računu,
Account Details,Detalji računa,
Account Head,Analitički račun,
Account Manager,Account Manager,
Account Name,Naziv računa,
Account Number,Broj računa,
Account Opening Balance,Početno stanje računa,
Account Paid From,Račun sa kojeg će biti povučena sredstva,
Account Paid To,Račun na koji će leći sredstva,
Account Subtype,Podvrsta računa,
Account Type,Vrsta računa,
Account for Change Amount,Račun za kusur,
Accounting,Računovodstvo,
Accounting Details,Računovodstveni detalji,
Accounting Dimension,Računovodstvena dimenzija,
Accounting Dimension Detail,Detalji računovodstveni dimenzije,
Accounting Dimension Filter,Filter računovodstvene dimenzije,
Accounting Dimensions,Računovodstvene dimenzije,
Accounting Dimensions ,Računovodstvene dimenzije ,
Accounting Dimensions Filter,Filter računovodstvenih dimenzija,
Accounting Entries,Računovodstveni unosi,
Accounting Period,Računovodstveni period,
Accounting entries are frozen up to this date. Only users with the specified role can create or modify entries before this date.,Računovodstveni unosi su zaključani do ovog datuma. Samo korisnici sa određenom ulogom mogu da kreiraju ili menjaju unose pre tog datuma.,
Accounts,Računi,
Accounts Closing,Zatvaranje računa,
Accounts Frozen Till Date,Računi su zaključani do datuma,
Accounts Manager,Menadžer naloga,
Accounts Payable,Obaveza prema dobavljačima,
Accounts Payable Summary,Rezime obaveza prema dobavljačima,
Accounts Receivable,Potraživanja od kupaca,
Accounts Receivable / Payable Tuning,Fino podešavanje računa potraživanja od kupaca / dugovanja ka dobavljačima,
Accounts Receivable Credit Account,Račun potraživanja od kupaca,
Accounts Receivable Discounted Account,Račun diskontovanih potraživanja od kupaca,
Accounts Receivable Summary,Rezime potraživanja od kupaca,
Accounts Receivable Unpaid Account,Račun neplaćenih potraživanja od kupaca,
Accounts Receivable/Payable,Račun potraživanja od kupaca/dugovanja ka dobavljačima,
Accounts Settings,Podešavanje računa,
Accounts User,Korisnik naloga,
Accounts to Merge,Računi za spajanje,
Accumulated Depreciation,Akumulirana amortizacija,
Accumulated Depreciation Account,Račun akumulirane amortizacije,
Accumulated Depreciation Amount,Iznos akumulirane amortizacije,
Acquisition Date,Datum sticanja,
Action,Radnja,
Action If Quality Inspection Is Not Submitted,Radnja ukoliko se ne podnese inspekcija kvaliteta,
Action If Quality Inspection Is Rejected,Radnja ukoliko je inspekcija kvaliteta odbijena,
Action If Same Rate is Not Maintained,Radnja ukoliko ista cena nije održana,
Action if Accumulated Monthly Budget Exceeded on Actual,Radnja ukoliko je mesečni budžet premašio stvarne troškove,
Action if Accumulated Monthly Budget Exceeded on MR,Radnja ukoliko je mesečni budžet premašio troškove prema zahtevima za materijal,
Action if Accumulated Monthly Budget Exceeded on PO,Radnja ukoliko je mesečni budžet premašen prema narudžbenicama,
Action if Accumulative Monthly Budget Exceeded on Cumulative Expense,Radnja ukoliko akumulirani mesečni budžet bude premašen na osnovu kumulativnog troška,
Action if Annual Budget Exceeded on Actual,Radnja ukoliko je godišnji budžet premašen prema stvarnim troškovima,
Action if Annual Budget Exceeded on MR,Radnja ukoliko je godišnji budžet premašen prema zahtevima za materijal,
Action if Annual Budget Exceeded on PO,Radnja ukoliko je godišnji budžet premašen prema narudžbenicama,
Action if Anual Budget Exceeded on Cumulative Expense,Radnja ukoliko je godišnji budžet premašen po kumulativnim troškovima,
Action if Same Rate is Not Maintained Throughout  Internal Transaction,Radnja ukoliko ista stopa nije održana tokom interne transakcije,
Action on New Invoice,Radnja prilikom nove fakture,
Actions,Radnje,
Actions performed,Izvršene radnje,
Active,Aktivan,
Active Status,Status aktivan,
Activities,Aktivnosti,
Activity,Aktivnost,
Activity Cost,Trošak aktivnosti,
Activity Type,Vrsta aktivnosti,
Actual,Stvarno,
Actual Batch Quantity,Stvarna količina šarže,
Actual Date,Stvarni datum,
Actual Demand,Stvarna potražnja,
Actual End Date,Stvarni datum završetka,
Actual End Date (via Timesheet),Stvarni datum završetka (preko evidencije vremena),
Actual End Time,Stvarno vreme završetka,
Actual Operating Cost,Stvarni operativni trošak,
Actual Operation Time,Stvarno vreme operacije,
Actual Qty,Stvarna količina,
Actual Qty (at source/target),Stvarna količina (na izvoru/cilju),
Actual Qty in Warehouse,Stvarna količina u skladištu,
Actual Start Date,Stvarni datum početka,
Actual Start Date (via Timesheet),Stvarni datum početka (preko evidencije vremena),
Actual Start Time,Stvarno početno vreme,
Actual Time,Stvarno vreme,
Actual Time and Cost,Stvarno vreme i trošak,
Actual Time in Hours (via Timesheet),Stvarno vreme u satima (preko evidencije vremena),
Add,Dodaj,
Add Corrective Operation Cost in Finished Good Valuation,Dodaj trošak korektivne operacije u vrednovanju gotovih proizvoda,
Add Local Holidays,Dodaj praznike i neradne dane,
Add Manually,Dodaj ručno,
Add Or Deduct,Dodaj ili odbij,
Add Quote,Dodaj ponudu,
Add Raw Materials,Dodaj sirovine,
Add Schedule,Dodaj raspored,
Add Serial / Batch Bundle,Dodaj paket serije / šarže,
Add Serial / Batch No,Dodaj broj serije / šarže,
Add Serial / Batch No (Rejected Qty),Dodaj broj serije / šarže (Odbijena količina),
Add Template,Dodaj šablon,
Add Weekly Holidays,Dodaj nedeljne praznike,
Add or Deduct,Dodaj ili odbij,
Add to Holidays,Dodaj u praznike,
Add to Transit,Dodaj u tranzit,
Added By,Dodato od,
Added On,Datum dodavanja,
Additional Asset Cost,Dodatni trošak imovine,
Additional Cost,Dodatni trošak,
Additional Cost Per Qty,Dodatni trošak po količini,
Additional Costs,Dodatni troškovi,
Additional Data,Dodatni podaci,
Additional Details,Dodatni detalji,
Additional Discount,Dodatni popust,
Additional Discount Amount,Visina dodatnog popusta,
Additional Discount Amount (Company Currency),Visina dodatnog popusta (valuta kompanije),
Additional Discount Percentage,Dodatni procenat popusta,
Additional Info,Dodatne informacije,
Additional Information,Dodatne informacije,
Additional Notes,Dodatne napomene,
Additional Operating Cost,Dodatni operativni troškovi,
Additional Transferred Qty,Dodatno preneta količina,
Additional information regarding the customer.,Dodatne informacije o kupcu.,
Address,Adresa,
Address & Contact,Adresa i kontakt,
Address & Contacts,Adresa i kontakti,
Address Desc,Opis adrese,
Address HTML,Adresa HTML,
Address Line 1,"Adresa, red 1",
Address Line 2,"Adresa, red 2",
Address Name,Adresa,
Address and Contact,Adresa i kontakt,
Address and Contacts,Adresa i kontakti,
Address used to determine Tax Category in transactions,Adresa se koristi za određivanje poreske kategorije u transakcijama,
Adjust Qty,Koriguj količinu,
Administrator,Administrator,
Advance Account,Avansni račun,
Advance Amount,Avansni iznos,
Advance Paid,Plaćeni avans,
Advance Payment Date,Datum avansne uplate,
Advance Payment Ledger Entry,Unos avansne uplate u evidenciju uplata,
Advance Payment Status,Status avansne uplate,
Advance Payments,Avansne uplate,
Advance Taxes and Charges,Akontacija poreza i taksi,
Advance Voucher No,Broj dokumenta za avans,
Advance Voucher Type,Vrsta dokumenta za avans,
Advance amount,Iznos avansa,
Advance payments allocated against orders will only be fetched,Avansne uplate raspoređene prema narudžbinama biće samo preuzete,
Advanced Filtering,Napredno filtriranje,
Advanced Settings,Napredna podešavanja,
Advances,Avansi,
Against,Protiv,
Against Account,Protiv računa,
Against Blanket Order,Protiv okvirnog naloga,
Against Delivery Note Item,Protiv stavke otpremnice,
Against Docname,Protiv naziva dokumenta,
Against Doctype,Protiv vrste DocType,
Against Document Detail No,Protiv broja detalja dokumenta,
Against Document No,Protiv broja dokumenta,
Against Expense Account,Protiv računa rashoda,
Against Finished Good,Na osnovu gotovog proizvoda,
Against Income Account,Protiv računa prihoda,
Against Pick List,Na osnovu liste za odabir,
Against Sales Invoice,Protiv izlazne fakture,
Against Sales Invoice Item,Protiv stavke na izlaznoj fakturi,
Against Sales Order,Protiv prodajne porudžbine,
Against Sales Order Item,Protiv stavke na prodajnoj porudžbini,
Against Stock Entry,Protiv unosa zaliha,
Against Voucher,Protiv dokumenta,
Against Voucher No,Protiv broja dokumenta,
Against Voucher Type,Protiv vrste dokumenta,
Ageing Based On,Starenje zasnovano na,
Agenda,Agenda,
Agent Busy Message,Poruka o zauzetosti agenta,
Agent Details,Detalji agenta,
Agent Group,Grupa agenta,
Agent Unavailable Message,Poruka o nedostupnosti agenta,
Agents,Agenti,
Aggregate a group of Items into another Item. This is useful if you are maintaining the stock of the packed items and not the bundled item,"Objedinite grupu stavki u drugu stavku. Ovo je korisno ukoliko održavate zalihe upakovanih stavki, a ne stavke u paketu",
Algorithm,Algoritam,
All,Sve,
All Activities,Sve aktivnosti,
All Activities HTML,Sve aktivnosti HTML,
All Contact,Svi kontakti,
All Customer Contact,Svi kontakt podaci kupaca,
All Employee (Active),Sva zaposlena lica (aktivni),
All Lead (Open),Svi potencijalni kupci (otvoreni),
All Sales Partner Contact,Svi kontakt podaci prodajnih partnera,
All Sales Person,Svi prodavci,
All Sales Transactions can be tagged against multiple Sales Persons so that you can set and monitor targets.,"Sve prodajne transakcije mogu biti označene protiv više prodavaca, tako da možete postaviti i pratiti ciljeve.",
All Supplier Contact,Svi kontakt podaci dobavljača,
All allocations have been successfully reconciled,Sve alokacije su uspešno usklađene,
All the Comments and Emails will be copied from one document to another newly created document(Lead -> Opportunity -> Quotation) throughout the CRM documents.,Svi komentari i imejlovi biće kopirani iz jednog dokumenta u drugi novokreirani dokument (Potencijal -> Prilika -> Ponuda) kroz CRM dokumenta.,
Allocate Advances Automatically (FIFO),Automatski raspodeli avanse (FIFO),
Allocate Payment Based On Payment Terms,Raspodeli plaćanje na osnovu uslova plaćanja,
Allocated,Raspoređeno,
Allocated Amount,Raspoređeni iznos,
Allocated Entries,Raspoređeni unosi,
Allocated amount,Raspoređeni iznos,
Allocation,Raspodela,
Allocations,Raspodele,
Allow,Dozvoli,
Allow Account Creation Against Child Company,Dozvoli kreiranje računa za zavisnu kompaniju,
Allow Alternative Item,Dozvoli alternativnu stavku,
Allow Continuous Material Consumption,Dozvoli kontinuiranu potrošnju materijala,
Allow Editing of Items and Quantities in Work Order,Dozvoli uređivanje stavki i količina u radnom nalogu,
Allow Excess Material Transfer,Dozvoli prenos viška materijala,
Allow Implicit Pegged Currency Conversion,Dozvoli implicitnu konverziju fiksne valute,
Allow In Returns,Dozvoli u povraćajima,
Allow Internal Transfers at Arm's Length Price,Dozvoli interne transfere po tržišnim cenama,
Allow Item To Be Added Multiple Times in a Transaction,Dozvoli dodavanje stavki više puta u transakciji,
Allow Lead Duplication based on Emails,Dozvoli duplikacije potencijalnih klijenata na osnovu imejla,
Allow Negative Stock,Dozvoli negativno stanje zaliha,
Allow Negative rates for Items,Dozvoli negativne cene za stavke,
Allow Or Restrict Dimension,Dozvoli ili ograniči dimenzije,
Allow Overtime,Dozvoli prekovremeni rad,
Allow Partial Payment,Dozvoli delimičnu uplatu,
Allow Partial Reservation,Dozvoli delimične rezervacije,
Allow Production on Holidays,Dozvoli proizvodnju tokom praznika,
Allow Purchase,Dozvoli nabavku,
Allow Purchase Invoice Creation Without Purchase Order,Dozvoli kreiranje ulazne fakture bez nabavne porudžbine,
Allow Purchase Invoice Creation Without Purchase Receipt,Dozvoli kreiranje ulazne fakture bez prijemnice nabavke,
Allow Purchase Order with Zero Quantity,Dozvoli nabavnu porudžbinu sa nultom količinom,
Allow Rename Attribute Value,Dozvoli preimenovanje naziva vrednosti atributa,
Allow Request for Quotation with Zero Quantity,Dozvoli zahtev za ponudu sa nultom količinom,
